id;zip;bfsnr;name;canton_id;district_id;planning_region_id;mountain_region_id;ase;greater_region_id;language_region_id;ms_region_id;job_market_region_id;agglomeration_id;metropole_region_id;tourism_region_id;municipal_size_class_id;urban_character_id;agglomeration_size_class_id;is_town;degurba_id;municipal_type22_id;municipal_type9_id;ms_region_typology_id;alternate_names;lat;long;lv03_easting;lv03_northing;noise_level;steuerfuss_gde;steuerfuss_kanton
794;1800;5890;Vevey;22;2230;2207;1;0;1;2;87;2;5890;2;9;4;1;4;1;2;2;1;4;[];46.4634985;6.8427295;554224.421872958;145970.687351133;57.38619201726;0.73;1.545
48;1040;5537;Villars-le-Terroir;22;2223;2211;1;0;1;2;90;2;0;0;9;8;4;2;0;3;16;7;3;[];46.6569364;6.6387429;538774.992814863;167612.743201611;47.9104166666667;0.73;1.545
170;1169;5655;Yens;22;2227;2202;1;0;1;2;85;2;0;0;9;7;4;2;0;3;20;8;2;[];46.518837;6.4180806;521686.103757162;152458.354302782;52.1654526534859;0.73;1.545
496;1462;5939;Yvonand;22;2224;2212;1;0;1;2;91;2;0;0;9;6;4;5;0;3;17;6;5;[];46.7983158;6.7445021;547009.021231151;183251.813636931;52.7752341311134;0.73;1.545
632;1651;2129;Corbières;10;1003;1002;4;0;2;2;40;4;0;0;13;8;5;0;0;3;15;7;9;[];46.6582727;7.1077166;574671.318372407;167502.416804474;48.2393340270552;0.735;1
627;1646;2129;Corbières;10;1003;1002;4;0;2;2;40;4;0;0;13;8;5;0;0;3;15;7;9;[];46.6582727;7.1077166;574671.318372407;167502.416804474;48.2393340270552;0.735;1
629;1647;2129;Corbières;10;1003;1002;4;0;2;2;40;4;0;0;13;8;5;0;0;3;15;7;9;[];46.6582727;7.1077166;574671.318372407;167502.416804474;48.2393340270552;0.735;1
9;1008;5589;Prilly;22;2229;2201;1;0;1;2;84;2;5586;2;9;4;2;2;1;1;9;2;1;[];46.534566;6.6055827;536092.355517152;154036.620500494;60.5255319148936;0.735;1.545
737;1730;2233;Hauterive (FR);10;1004;1001;1;0;2;2;39;4;2196;9;13;6;4;3;0;3;12;2;8;[];46.7566336;7.0947394;573726.017683173;178441.085881799;41.9105098855359;0.74;1
733;1725;2233;Hauterive (FR);10;1004;1001;1;0;2;2;39;4;2196;9;13;6;4;3;0;3;12;2;8;[];46.7566336;7.0947394;573726.017683173;178441.085881799;41.9105098855359;0.74;1
